Category,DistrictType,District,Office,County,RaceName_original,AppStatus
senate,senate,23,State Senate District 23,Multi-County Race,State Senate District 23,READY
state_school_board,school_board,1,State School Board District 1,Multi-County Race,State School Board District 1 (Multi-County),READY
state_school_board,school_board,2,State School Board District 2,Multi-County Race,State School Board District 2,READY
state_school_board,school_board,5,State School Board District 5,Multi-County Race,State School Board District 5,READY
state_school_board,school_board,7,State School Board District 7,Multi-County Race,State School Board District 7 (2-Year Term),READY
state_school_board,school_board,8,State School Board District 8,Multi-County Race,State School Board District 8,READY
local_school_board,school_district,,State School Board Distrct 11 (Multi-County),Multi-County Race,State School Board Distrct 11 (Multi-County),"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
state_school_board,school_board,14,State School Board District 14,Multi-County Race,State School Board District 14 (Multi-County),READY
judicial,,,Shall MATTHEW DAVID BATES be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race,Shall MATTHEW DAVID BATES be retained in the office of Judge of the District Court of the Third Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
judicial,,,Shall STEVEN K. BECK be retained in the office of Judge of the Juvenile Court of the Third Judicial District?,Multi-County Race,Shall STEVEN K. BECK be retained in the office of Judge of the Juvenile Court of the Third Judicial District?,"EXCLUDE — retention Y/N, not a candidate race"
house,house,21,State House District 21,Multi-County Race,State House District 21,READY
house,house,22,State House District 22,Multi-County Race,State House District 22,READY
house,house,23,State House District 23,Multi-County Race,State House District 23 (Multi-County),READY
house,house,24,State House District 24,Multi-County Race,State House District 24,READY
county_office,county,1,Clerk/Auditor,Beaver,Clerk/Auditor,NEEDS county DistrictType wired
local_school_board,school_district,1,Beaver School Board 5,Beaver,Beaver School Board 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,1,Beaver School Board 4,Beaver,Beaver School Board 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,1,Shall Von J. Christiansen be elected to the office of County Attorney?,Beaver,Shall Von J. Christiansen be elected to the office of County Attorney?,NEEDS county DistrictType wired
county_office,county,1,Sheriff,Beaver,Sheriff,NEEDS county DistrictType wired
county_office,county,1,Commissioner B,Beaver,Commissioner B,NEEDS county DistrictType wired
county_office,county,1,Commissioner A,Beaver,Commissioner A,NEEDS county DistrictType wired
county_office,county,2,Box Elder County Clerk,Box Elder,Box Elder County Clerk,NEEDS county DistrictType wired
county_office,county,2,Box Elder County Auditor,Box Elder,Box Elder County Auditor,NEEDS county DistrictType wired
county_office,county,2,Box Elde County Attorney,Box Elder,Box Elde County Attorney,NEEDS county DistrictType wired
county_office,county,2,Box Elder County Commissioner Seat B,Box Elder,Box Elder County Commissioner Seat B,NEEDS county DistrictType wired
local_school_board,school_district,2,Box Elder County School Board District 4,Box Elder,Box Elder County School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,2,Box Elder County Sheriff,Box Elder,Box Elder County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,2,Box Elder County School Board District 3,Box Elder,Box Elder County School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,2,Box Elder County School Board District 7,Box Elder,Box Elder County School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,2,Box Elder County Commissioner Seat A,Box Elder,Box Elder County Commissioner Seat A,NEEDS county DistrictType wired
special_district,,,Cache Water District Board South 6,Cache,Cache Water District Board South 6,EXCLUDE — no address-resolvable geography
special_district,,,Cache Water District Board Southeast 7,Cache,Cache Water District Board Southeast 7,EXCLUDE — no address-resolvable geography
county_office,county,3,Cache County Sheriff,Cache,Cache County Sheriff,NEEDS county DistrictType wired
special_district,,,Cache Water District Board Northeast 5,Cache,Cache Water District Board Northeast 5,EXCLUDE — no address-resolvable geography
special_district,,,Cache Water District Board Logan 3,Cache,Cache Water District Board Logan 3,EXCLUDE — no address-resolvable geography
special_district,,,Cache Water District Board At-large,Cache,Cache Water District Board At-large,EXCLUDE — no address-resolvable geography
county_office,county,3,County Executive/Surveyor,Cache,County Executive/Surveyor,NEEDS county DistrictType wired
county_office,county,3,Cache County Council Logan Seat 2,Cache,Cache County Council Logan Seat 2,NEEDS county DistrictType wired
county_office,county,3,Cache County Council Southeast 7,Cache,Cache County Council Southeast 7,NEEDS county DistrictType wired
county_office,county,3,Cache County Council Northeast 5,Cache,Cache County Council Northeast 5,NEEDS county DistrictType wired
county_office,county,3,County Clerk,Cache,County Clerk,NEEDS county DistrictType wired
local_school_board,school_district,3,Logan City School Board District 5,Cache,Logan City School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,3,Cache County Council Logan Seat 3,Cache,Cache County Council Logan Seat 3,NEEDS county DistrictType wired
county_office,county,3,County Attorney,Cache,County Attorney,NEEDS county DistrictType wired
county_office,county,3,County Auditor,Cache,County Auditor,NEEDS county DistrictType wired
local_school_board,school_district,3,Cache County School Board District 2,Cache,Cache County School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,3,Cache County School Board District 4,Cache,Cache County School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,3,Cache County School Board District 7,Cache,Cache County School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,3,Logan City School Board District 3,Cache,Logan City School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,4,County Attorney,Carbon,County Attorney,NEEDS county DistrictType wired
county_office,county,4,Commissioner,Carbon,Commissioner,NEEDS county DistrictType wired
county_office,county,4,Commissioner/Surveyor,Carbon,Commissioner/Surveyor,NEEDS county DistrictType wired
county_office,county,4,Clerk/Auditor,Carbon,Clerk/Auditor,NEEDS county DistrictType wired
county_office,county,4,Sheriff,Carbon,Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,4,School Board District 5,Carbon,School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,4,School Board District 4,Carbon,School Board District 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,5,School Board District 1,Daggett,School Board District 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,5,School Board District 2,Daggett,School Board District 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,5,School Board District 3,Daggett,School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
special_district,,,Flaming Gorge Fire and EMS District At Large,Daggett,Flaming Gorge Fire and EMS District At Large,EXCLUDE — no address-resolvable geography
special_district,,,FLAMING GORGE FIRE AND EMS DISTRICT EAST,Daggett,FLAMING GORGE FIRE AND EMS DISTRICT EAST,EXCLUDE — no address-resolvable geography
special_district,,,Flaming Gorge Fire & EMS District West,Daggett,Flaming Gorge Fire & EMS District West,EXCLUDE — no address-resolvable geography
county_office,county,5,Auditor,Daggett,Auditor,NEEDS county DistrictType wired
county_office,county,5,Commissioner A,Daggett,Commissioner A,NEEDS county DistrictType wired
county_office,county,5,Commissioner B,Daggett,Commissioner B,NEEDS county DistrictType wired
